"Citizenship (5), Place of Birth (236), Immigrant Status and Period of Immigration (11), Age Groups (10) and Sex (3) for the Population in Private Households of Canada, Provinces, Territories, Census Metropolitan Areas and Census Agglomerations, 2011 National Household Survey"
"Geography = Canada [1]"
"Global non-response rate (GNR) [2] =  26.1 %"
"Immigrant status and period of immigration (11) = Total - Immigrant status and period of immigration"
"Age groups (10) = Total - Age groups"
"Sex (3) = Total - Sex"
"Place of birth (236)","Total - Citizenship [3]","  Canadian citizens","    Canadian citizens only","    Citizens of Canada and at least one other country","  Not Canadian citizens [4]", 
"        Egypt",51520,38295,29105,9185,13225 
"        Libya [14]",5845,2605,2070,535,3245 
"        Morocco",58830,35795,25460,10335,23035 
"        Sudan",14020,10015,8510,1505,4005 
"        Tunisia",12065,6305,3820,2485,5755 
"      Central Africa",35800,19385,17365,2010,16415 
"        Angola",2760,2035,1560,480,730 
"        Cameroon",9090,3025,2665,360,6060 
"        Central African Republic",360,130,90,40,230 
"        Chad",790,485,410,75,300 
"        Congo, The Democratic Republic of the",19890,12265,11450,820,7620 
"        Congo, Republic of the",1840,955,835,120,885 
"        Equatorial Guinea",70,20,0,0,55 
"        Gabon",1000,465,355,110,535 
"      Southern Africa",45625,34965,31045,3925,10660 
"        Botswana",620,175,170,0,445 
"        Lesotho",105,80,85,0,20 
"        Namibia",1100,345,305,45,755 
"        South Africa, Republic of",43465,34110,30250,3855,9355 
"        Swaziland",335,250,235,0,85 
"      Africa, n.i.e. [15]",25,20,10,0,0 
"    Asia",3239015,2231975,2020100,211870,1007040 
"      West Central Asia and the Middle East",484985,338470,264000,74470,146520 
"        Afghanistan",42120,30720,26580,4140,11400 
"        Armenia",3620,2340,2070,270,1280 
"        Azerbaijan",3045,1780,1470,305,1270 
"        Bahrain",2195,1590,1435,155,600 
"        Cyprus",3920,3625,2905,720,290 
"        Georgia",1765,1190,1090,105,570 
"        Iran [16]",125825,88875,67265,21610,36950 
"        Iraq",50980,31945,26350,5590,19030 
"        Israel",25145,18195,12300,5895,6950 
"        Jordan",10170,6070,4635,1435,4095 
"        Kazakhstan",9600,5380,4680,700,4220 
"        Kuwait",13495,10015,8450,1565,3480 
"        Kyrgyzstan",1750,1050,970,80,700 
"        Lebanon",83375,68430,50605,17825,14945 
"        Oman",1620,1035,895,135,585 
"        Qatar",1770,1090,955,135,680 
"        Saudi Arabia",23155,9505,8090,1420,13645 
"        Syria [17]",22725,17350,13265,4080,5375 
"        Tajikistan",1100,610,500,110,495 
"        Turkey",27145,18035,13020,5015,9115 
"        Turkmenistan",430,295,215,80,135 
"        United Arab Emirates",15345,9390,8120,1260,5965 
"        Uzbekistan",4945,2705,2080,625,2235 
"        West Bank and Gaza Strip (Palestine) [18]",7755,6080,5090,990,1675 
"        Yemen",2000,1165,960,210,830 
"      Eastern Asia",1038605,720085,667915,52170,318525 
"        China [19]",585555,376545,364215,12330,209010 
"        Hong Kong Special Administrative Region",209775,196140,175765,20370,13640 
"        Japan",33330,12830,11280,1550,20500 
"        Korea, North [20]",645,225,220,0,415 
"        Korea, South [21]",132940,74445,72120,2330,58495 
"        Macao Special Administrative Region",5670,5260,4725,530,410 
"        Mongolia",1155,265,240,25,885 
"        Taiwan",69550,54375,39355,15020,15170 
"      Southeast Asia",787600,531710,506450,25265,255890 
"        Brunei Darussalam",4055,3720,3685,40,335 
"        Burma (Myanmar)",8255,4545,4250,295,3710 
"        Cambodia",24275,21470,20425,1050,2800 
"        Indonesia",14870,9545,9135,410,5320 
"        Laos [22]",14540,13695,13340,350,845 
"        Malaysia",23710,17560,16960,605,6150 
"        Philippines",502295,293855,278735,15115,208440 
"        Singapore",12190,8460,7870,595,3730 
"        Thailand",14985,9690,8490,1200,5295 
"        Viet Nam [23]",168420,149160,143560,5605,19260 
"      Southern Asia",927775,641665,581695,59975,286105 
"        Bangladesh",47180,31680,24765,6920,15495 
"        Bhutan",2330,55,55,0,2270 
"        India",572435,383395,365040,18355,189040 
"        Nepal",9050,3005,2820,185,6045 
"        Pakistan",161380,119560,89600,29955,41820 
"        Sri Lanka",135400,103970,99405,4560,31435 
"      Asia, n.i.e. [24]",50,40,45,0,0 
"    Oceania",63630,43790,35640,8150,19835 
"      Australia",25365,13515,9180,4335,11850 
"      Fiji",24925,21370,20685,685,3555 
"      French Polynesia",130,75,50,25,55 
"      New Caledonia",135,60,30,30,70 
"      New Zealand",11905,7920,5025,2900,3985 
"      Papua New Guinea",540,425,370,50,115 
"      Samoa",110,65,60,0,45 
"      Tonga",100,55,40,15,40 
"      Oceania, n.i.e. [25]",420,305,190,110,120 
"    Other",120,120,110,0,0 
"Note"
"[1] Excludes National Household Survey data for one or more incompletely enumerated Indian reserves or Indian settlements."
"[2] For the 2011 National Household Survey (NHS) estimates, the global non-response rate (GNR) is used as an indicator of data quality. This indicator combines complete non-response (household) and partial non-response (question) into a single rate. The value of the GNR is presented to users. A smaller GNR indicates a lower risk of non-response bias and as a result, lower risk of inaccuracy. The threshold used for estimates' suppression is a GNR of 50% or more. For more information, please refer to the National Household Survey User Guide, 2011."
"[3] Includes persons who are stateless."
"[4] Includes persons who are stateless."
"[5] The official name of Bolivia is Plurinational State of Bolivia."
"[6] The official name of Venezuela is Bolivarian Republic of Venezuela."
"[7] Includes countries such as Bonaire, Saint Eustatius and Saba; Falkland Islands (Malvinas); Greenland; Saint Barthélemy; Saint Martin (French part); and South Georgia and the South Sandwich Islands."
"[8] The official name of Moldova is Republic of Moldova."
"[9] The official name of United Kingdom is United Kingdom of Great Britain and Northern Ireland. United Kingdom includes Scotland, Wales, England and Northern Ireland (excludes Isle of Man, the Channel Islands and British Overseas Territories)."
"[10] The official name of Kosovo is Republic of Kosovo."
"[11] Known as Former Yugoslav Republic of Macedonia in the United Nations and other international bodies."
